Station,NORTHING,EASTING,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.531952,0.003723371,3,E15 3NB
Abbey Wood,547297,179002,51.4907843,0.120271971,4,SE2 9RH
Acton Central,520613,180299,51.50875735,-0.263430195,2,W3 6BH
Acton Main Line,520296,181196,51.5168865,-0.267689948,3,W3 9EH
Acton Town,519457,179639,51.50307099,-0.280302697,3,W3 8HN
Addington Village,537082,163744,51.35623854,-0.0326651,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.37980817,-0.073213283,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.43581582,0.126444639,5,DA5 3HP
Aldgate,533629,181246,51.51434226,-0.075626912,1,EC3N 1AH
Aldgate East,533809,181333,51.51508151,-0.073001462,1,E1 7PT
Alexandra Palace,530300,190498,51.59826263,-0.120148971,3,N22 7ST
All Saints,538012,180933,51.51047691,-0.012624885,2,E14 0EH
Alperton,518025,183849,51.54120879,-0.299515753,4,HA0 4LL
Amersham,496454,198181,51.67412833,-0.606513768,9,HP6 5AZ
Ampere Way,530674,166476,51.38229922,-0.123636798,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.41251661,-0.0651371,4,SE20 8PY
Angel,531497,183263,51.53296785,-0.105581448,1,N1 8XB
Angel Road,535204,192202,51.61242024,-0.048732919,4,N18 3AY
Archway,529356,186827,51.56549032,-0.135121576,"2,3",N19 5RQ
Arena,535192,167620,51.39152266,-0.05831855,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.61622992,-0.134270218,4,N11 1AN
Arsenal,531429,186107,51.55854121,-0.105499933,2,N5 1LP
Avenue Road,535764,169335,51.4067979,-0.049446937,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.52312937,-0.156904193,1,NW1 5LA
Balham,528482,173195,51.44318231,-0.152685162,3,SW12 9SG
Bank,532704,181111,51.51334692,-0.089000123,1,EC3V 3LA
Banstead,524590,160426,51.32929278,-0.213132334,6,SM7 1RB
Barbican,532079,181859,51.52021513,-0.097721578,1,EC1A 4JA
Barking,544405,184343,51.53952125,0.08083161,4,IG11 8TU
Barking Riverside,546824,182141,51.51911216,0.114769483,4,IG11 0BF
Barkingside,544788,189510,51.58585076,0.08847664,4,IG6 1NB
Barnehurst,550206,176193,51.46478055,0.160948024,6,DA7 6HQ
Barnes,522209,175705,51.46712738,-0.242033059,3,SW13 0LW
Barnes Bridge,521478,176255,51.47222764,-0.252362613,3,SW13 0NR
Barons Court,524133,178322,51.49022833,-0.213430142,2,W14 9DP
Battersea Park,528703,176999,51.47731808,-0.14812376,2,SW8 4NB
Battersea Power Station,529122,177252,51.47949634,-0.142001351,1,SW11 8AL
Bayswater,525845,180799,51.51211098,-0.187901572,1,W2 4QH
Beckenham Hill,538002,171379,51.42462603,-0.016495762,4,SE6 3NU
Beckenham Junction,537403,169840,51.4109416,-0.025701739,4,BR3 1HY
Beckenham Road,536177,169650,51.40952968,-0.043391922,"3,4,5,6",BR3 4RR
Beckton,543145,181509,51.51437673,0.061525297,3,E6 5NT
Beckton Park,542697,180887,51.50890089,0.054821939,3,E6 5NE
Becontree,547598,184442,51.53958562,0.126880293,5,RM9 4TP
Beddington Lane,529367,167215,51.38923965,-0.142138433,"3,4,5,6",CR0 4TF
Belgrave Walk,526805,168455,51.40096136,-0.178496472,"3,4,5,6",CR4 4NY
Bellingham,537702,172399,51.43386486,-0.02041177,3,SE6 3BT
Belmont,525500,162098,51.3441196,-0.199489251,5,SM2 6BH
Belsize Park,527399,185075,51.55019061,-0.163974491,2,NW3 2AL
Belvedere,549498,179197,51.49195925,0.152033793,5,DA17 6JW
Bermondsey,534461,179445,51.49796068,-0.06433009,2,SE16 4RX
Berrylands,519728,168040,51.39876795,-0.280321473,5,KT5 8LT
Bethnal Green,534995,182712,51.52719165,-0.055392111,2,E2 0ET
Bethnal Green Rail,534683,182380,51.52428264,-0.060013742,2,E2 6JL
Bexley,549399,173502,51.44081478,0.148203914,6,DA5 1AQ
Bexleyheath,548294,176000,51.46355018,0.133362966,5,DA7 4AA
Bickley,542304,168799,51.40037964,0.044304032,5,BR1 2EB
Birkbeck,535297,168996,51.403863,-0.056286236,4,BR3 4TA
Blackfriars,531738,180890,51.51158676,-0.102995385,1,EC4V 4DD
Blackheath,539604,175961,51.46540803,0.008336595,3,SE3 9LE
Blackhorse Lane,534362,166844,51.38474607,-0.070533948,"3,4,5,6",CR0 6NL
Blackhorse Road,535914,189256,51.58577656,-0.039625711,3,E17 6JJ
Blackwall,538394,180649,51.50783153,-0.007235166,2,E14 9QB
Bond Street,528497,181053,51.51379728,-0.149613609,1,W1C 2HU
Borough,532379,179734,51.50104872,-0.094197323,1,SE1 1JX
Boston Manor,516391,178755,51.49576501,-0.324747183,4,TW8 9LQ
Bounds Green,529996,191466,51.60703172,-0.124177065,"3,4",N11 2EU
Bow Church,537414,182824,51.52761517,-0.020499899,2,E3 3AA
Bow Road,537148,182753,51.52704177,-0.024359591,2,E3 4DH
Bowes Park,530299,191498,51.60724932,-0.119792218,"3,4",N22 8NL
Brent Cross,523905,187927,51.57659887,-0.213335838,3,NW11 9UA
Brentford,517462,177864,51.4875358,-0.309622531,4,TW8 9LF
Brentwood,559321,193036,51.61361083,0.299672821,7,CM14 4EW
Brimsdown,536297,196997,51.65524457,-0.031092277,5,EN3 7NA
Brixton,531076,175437,51.46273662,-0.114552097,2,SW9 8HE
Brockley,536405,175801,51.4647496,-0.03774825,2,SE4 2RW
Bromley North,540395,169699,51.40894234,0.017235452,4,BR1 3NN
Bromley South,540431,168705,51.40000132,0.01735958,5,BR1 1LX
Bromley-by-Bow,538034,182532,51.52484018,-0.011682374,"2,3",E3 3BT
Brondesbury,524718,184460,51.54526203,-0.202838483,2,NW6 7QL
Brondesbury Park,524202,183898,51.54032502,-0.210473944,2,NW6 6RP
Broxbourne,537407,207240,51.74701555,-0.011024084,9,EN10 7AW
Bruce Grove,533758,190115,51.59401113,-0.070398989,3,N17 8AD
Buckhurst Hill,541768,193957,51.62657674,0.046712541,5,IG9 5ET
Burnham,494007,181378,51.52350399,-0.646388208,,SL1 6JT
Burnt Oak,520303,190728,51.60255148,-0.264330708,4,HA8 0LA
Bush Hill Park,533696,195396,51.64148185,-0.069280412,5,EN1 1BA
Bushey,511860,195318,51.64554353,-0.384721533,8,WD19 4ST
Caledonian Road,530568,184899,51.54788525,-0.118360861,2,N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.54328439,-0.115204856,2,N1 0SL
Cambridge Heath,534855,183250,51.53205967,-0.057203201,2,E2 7NA
Camden Road,529140,184191,51.54185101,-0.139203111,2,NW1 9LQ
Camden Town,528920,183976,51.53996912,-0.14245238,2,NW1 8NH
Canada Water,535399,179493,51.49816833,-0.050807121,2,SE16 7BB
Canary Wharf,537558,180153,51.50357838,-0.01946684,2,E14 4QS
Canning Town,539454,181350,51.5138703,0.008305633,3,E16 1DQ
Cannon Street,532623,180888,51.51136194,-0.090250526,1,EC4N 6AP
Canonbury,532355,184979,51.54818824,-0.092574195,2,N1 2PG
Canons Park,518208,191246,51.60765009,-0.294391591,5,HA8 6RN
Carpenders Park,511826,193386,51.62818609,-0.385829315,7,WD19 7DT
Carshalton,527737,164858,51.3684261,-0.166398326,5,SM5 2HT
Carshalton Beeches,527552,163625,51.35738657,-0.169496324,5,SM5 3LG
Castle Bar Park,515853,181770,51.52297312,-0.33150407,4,W7 1AY
Caterham,534099,155422,51.2821627,-0.078607298,6,CR3 6LB
Catford,537245,173544,51.44426487,-0.026538499,3,SE6 4XT
Catford Bridge,537363,173595,51.44469459,-0.024821876,3,SE6 4RE
Centrale,532067,165785,51.3757673,-0.103888103,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.56804709,0.128901113,5,RM6 4BE
Chafford Hundred,558922,178770,51.48555497,0.287475706,7,RM16 6QQ
Chalfont and Latimer,499610,197550,51.66790656,-0.561067759,8,HP7 9PR
Chalk Farm,528126,184421,51.54414884,-0.15373307,2,NW3 2BP
Chancery Lane,531096,181642,51.51849384,-0.111962027,1,WC1V 6DR
Charing Cross,530234,180492,51.50835843,-0.124802937,1,WC2N 5HS
Charlton,541108,178387,51.48683504,0.030941645,3,SE7 7AB
Cheam,524444,163334,51.35545989,-0.214211281,5,SM3 8RZ
Chelsfield,546944,164021,51.35626476,0.10898412,6,BR6 6EU
Chesham,496048,201650,51.70537902,-0.611429635,9,HP5 1DH
Cheshunt,536652,202307,51.70287328,-0.023887415,8,EN8 9AQ
Chessington North,518415,164168,51.36424295,-0.300476124,6,KT9 2RT
Chessington South,517974,163319,51.35670403,-0.307089015,6,KT9 2DD
Chigwell,543835,193045,51.617858,0.076179215,4,IG7 6NT
Chingford,539173,194628,51.63325339,0.009514326,5,E4 6AL
Chipstead,527689,158275,51.30927471,-0.169445868,6,CR5 3TD
Chislehurst,543205,169405,51.40559851,0.057491822,5,BR7 5NN
Chiswick,520438,177182,51.48078106,-0.267013318,3,W4 2QE
Chiswick Park,520352,178692,51.49437028,-0.267736918,3,W4 5NE
Chorleywood,502596,196092,51.65426508,-0.518333911,7,WD3 5ND
Church Street,532041,165555,51.37370639,-0.104346828,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.5139349,-0.103618449,1,EC4M 7JH
Clapham Common,529428,175291,51.46180345,-0.138314901,2,SW4 7AJ
Clapham High Street,529824,175709,51.4654693,-0.132464502,2,SW4 6DQ
Clapham Junction,527198,175520,51.46436651,-0.170315001,2,SW11 2QP
Clapham North,530003,175652,51.464916,-0.129910062,2,SW4 7TS
Clapham South,528782,174259,51.45267625,-0.147984068,"2,3",SW12 9DU
Clapton,534748,186531,51.561569,-0.057489458,2,E5 9JP
Clock House,536367,169545,51.4085405,-0.040702092,4,BR3 4PR
Cockfosters,528087,196424,51.65202424,-0.14991671,5,EN4 0DZ
Colindale,521295,189937,51.59523011,-0.25028754,4,NW9 5HR
Colliers Wood,526831,170436,51.4187589,-0.177415098,3,SW19 2HR
Coombe Lane,535201,164089,51.35978921,-0.059531571,"3,4,5,6",CR0 5RF
Coulsdon South,529869,159056,51.31580072,-0.137903089,6,CR5 3EA
Coulsdon Town,530098,159802,51.32245274,-0.134347056,6,CR5 2JA
Covent Garden,530242,180982,51.51276003,-0.124506894,1,WC2E 9JT
Crayford,551479,174424,51.44854705,0.178502718,6,DA1 3PY
Crews Hill,530973,200109,51.68447444,-0.1068441,6,EN2 8AY
Cricklewood,524009,185907,51.55842232,-0.212547931,3,NW2 1HL
Crofton Park,536517,174739,51.45517924,-0.036546582,3,SE4 2RA
Crossharbour and London Arena,537896,179301,51.49583996,-0.014932813,2,E14 8AD
Crouch Hill,530586,187508,51.57132691,-0.117133284,3,N4 4AU
Croxley,507921,195395,51.64700456,-0.441603787,7,WD3 3DY
Crystal Palace,534120,170557,51.41817024,-0.072607232,"3,4",SE19 2AZ
Custom House,540679,180911,51.5096221,0.02577251,3,E16 3BX
Cutty Sark for Maritime Greenwich,538240,177764,51.48194445,-0.010581867,2,SE10 9SW
Cyprus,543324,180863,51.50852669,0.063840756,3,E6 5PH
Dagenham Dock,548900,183000,51.52628744,0.145031015,5,RM9 6RA
Dagenham East,550284,185033,51.54418761,0.165833433,5,RM10 8AA
Dagenham Heathway,549035,184665,51.54121204,0.147679721,5,RM9 5AN
Dalston Junction,533580,184778,51.5460936,-0.074994204,2,E8 3DL
Dalston Kingsland,533487,185062,51.5486677,-0.076226922,2,E8 2JS
Debden,544275,196133,51.64549214,0.083801475,6,IG10 3TG
Denmark Hill,532697,176087,51.46820049,-0.090987869,2,SE5 8BB
Deptford,537165,177395,51.47889004,-0.02619632,2,SE8 3NU
Deptford Bridge,537466,176912,51.47447674,-0.022052429,"2,3",SE10 8BU
Devons Road,537603,182233,51.52225844,-0.018007754,2,E3 3QX
Dollis Hill,522207,185132,51.5518502,-0.238797758,3,NW10 5NB
Drayton Green,516002,180998,51.51600414,-0.329611253,4,W13 0JX
Drayton Park,531426,185499,51.55307814,-0.105770199,2,N5 1NT
Dundonald Road,524741,170233,51.41739781,-0.20752711,"3,4,5,6",SW19 3QJ
Ealing Broadway,517920,180915,51.51486148,-0.302010376,3,W5 2NU
Ealing Common,518963,180426,51.51024819,-0.287151413,3,W5 3LD
Earls Court,525457,178480,51.49135636,-0.194313807,"1,2",SW5 9QA
Earlsfield,526081,173030,51.4422385,-0.187272687,3,SW18 4SW
East Acton,521656,181159,51.51626301,-0.248112221,2,W12 0BP
East Croydon,532904,165801,51.37571595,-0.091863496,5,CR0 1LF
East Dulwich,533449,175375,51.46162545,-0.080436571,2,SE22 8EF
East Finchley,527242,189204,51.58733228,-0.164743884,3,N2 0NW
East Ham,542373,184255,51.53924625,0.051516293,"3,4",E6 2JA
East India,538729,180753,51.50868401,-0.002370332,"2,3",E14 9PS
East Putney,524387,174840,51.45887944,-0.210998232,"2,3",SW15 6SN
Eastcote,511191,187627,51.57655118,-0.39682329,5,HA5 1QZ
Eden Park,537396,167598,51.39079606,-0.026669716,5,BR3 3HQ
Edgware,519527,192009,51.61422917,-0.275093662,5,HA8 7AW
Edgware Road (Bakerloo),527026,181778,51.52064508,-0.17053955,1,W2 1DY
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999777,-0.167668253,1,NW1 5DH
Edmonton Green,534273,193590,51.6251156,-0.061639019,4,N9 9DX
Elephant and Castle,531940,179144,51.49584922,-0.100738714,"1,2",SE1 6LW
Elm Park,552446,185647,51.54912491,0.197252684,6,RM12 4RW
Elmers End,535788,168389,51.39829103,-0.049463832,4,BR3 4EJ
Elmstead Woods,542247,170656,51.41708071,0.044229343,4,BR7 5EW
Elstree and Borehamwood,519098,196299,51.65287512,-0.279828615,6,WD6 3LS
Eltham,542690,174962,51.45566231,0.052329308,4,SE9 6UB
Elverson Road,537848,176243,51.46837217,-0.016816376,"2,3",SE8 4LA
Embankment,530406,180380,51.5073123,-0.122367336,1,WC2N 6NS
Emerson Park,553971,187918,51.56911527,0.220222937,6,RM11 2JR
Enfield Chase,532181,196607,51.65272197,-0.090704205,5,EN2 7AA
Enfield Lock,536437,198737,51.67084608,-0.02839107,6,EN3 6BW
Enfield Town,532970,196544,51.65196995,-0.079329922,5,EN1 1YB
Epping,546197,201552,51.69368635,0.113825554,6,CM16 4HW
Epsom Downs,522805,159756,51.32365905,-0.238970223,6,KT17 4JX
Erith,551075,178096,51.48164796,0.174261291,6,DA8 1TY
Essex Road,532114,184132,51.54063316,-0.096365525,2,N1 2SU
Euston,529587,182735,51.52866411,-0.133296471,1,NW1 2DU
Euston Square,529454,182376,51.52546838,-0.135344488,1,NW1 2BN
Ewell East,522571,162152,51.34524348,-0.241502998,6,KT17 1QR
Ewell West,521473,162654,51.34999072,-0.257089129,6,KT17 1TU
Fairlop,544902,190655,51.59610969,0.09059328,4,IG6 3HD
Falconwood,544498,175394,51.45908593,0.078509693,4,SE9 2RN
Farringdon,531585,181844,51.52019552,-0.104843061,1,EC1M 6BY
Feltham,510601,173298,51.4478785,-0.409824471,6,TW13 4BY
Fenchurch Street,533434,180932,51.51156658,-0.078554152,1,EC3M 4AJ
Fieldway,537665,163212,51.35131697,-0.024503265,"3,4,5,6",CR0 0QA
Finchley Central,525232,190664,51.60090294,-0.193220635,4,N3 2RY
Finchley Road,526293,184703,51.54709591,-0.180050559,2,NW6 3BS
Finchley Road and Frognal,526035,185033,51.5501192,-0.183651201,2,NW3 5HT
Finsbury Park,531385,186784,51.56463527,-0.105881486,2,N4 3JU
Forest Gate,540447,185322,51.54931616,0.024189092,3,E7 0QH
Forest Hill,535398,172943,51.43930823,-0.053328504,3,SE23 3HD
Fulham Broadway,525402,177244,51.48026059,-0.195544162,2,SW6 1BY
Fulwell,514832,171841,51.433942,-0.349438518,6,TW2 5NY
Gallions Reach,543873,180935,51.50903426,0.071775395,3,E6 6FZ
Gants Hill,543266,188432,51.57655306,0.066084098,4,IG2 6UD
George Street,532432,165594,51.3739659,-0.098718105,"3,4,5,6",CRO 1LA
Gidea Park,552941,189306,51.58186609,0.205976983,6,RM2 6BX
Gipsy Hill,533321,171237,51.42446939,-0.083835167,3,SE19 1PL
Gloucester Road,526196,178848,51.49449926,-0.183543558,1,SW7 4SF
Golders Green,525199,187471,51.57221522,-0.194834557,3,NW11 7RN
Goldhawk Road,523131,179616,51.5020766,-0.227404003,2,W12 8EG
Goodge Street,529505,181837,51.52061289,-0.134807689,1,W1T 2HF
Goodmayes,546462,187369,51.56618117,0.111729655,4,IG3 9UH
Gordon Hill,531889,197799,51.66350209,-0.094473299,5,EN2 0QU
Gospel Oak,528263,185677,51.55540505,-0.151301031,2,NW5 1LT
Grange Hill,544963,192590,51.61348058,0.09227253,4,IG7 5QB
Grange Park,531753,195472,51.64262292,-0.097314423,5,N21 1RE
Gravel Hill,536359,163536,51.35454319,-0.043121699,"3,4,5,6",CR0 5BJ
Great Portland Street,528861,182174,51.52378856,-0.143961424,1,W1W 5PP
Green Park,529012,180283,51.50676025,-0.142477574,1,W1J 7BX
Greenford,514808,183861,51.54197951,-0.345878733,4,UB6 8PR
Greenwich,537956,177267,51.47754764,-0.014863084,"2,3",SE10 8JQ
Grove Park,540702,172099,51.43043268,0.022598502,4,SE12 0PW
Gunnersbury,519843,178401,51.49186296,-0.275164131,3,W4 5RP
Hackbridge,528582,165929,51.37786065,-0.153879197,4,SM6 7BJ
Hackney Central,534922,184943,51.54725736,-0.055589512,2,E8 1LL
Hackney Downs,534598,185137,51.54907799,-0.060185105,2,E8 1LA
Hackney Wick,537036,184588,51.54355837,-0.025259503,2,E9 5ER
Hadley Wood,526197,198199,51.66840258,-0.176581188,6,EN4 0EJ
Haggerston,533560,183953,51.53868461,-0.075595258,2,E8 4DY
Hainault,545124,191411,51.60284548,0.094108551,4,IG6 3BD
Hammersmith (District),523474,178483,51.49181941,-0.222860926,2,W6 9YA
Hammersmith (Met.),523346,178665,51.49348299,-0.224640155,2,W6 0ED
Hampstead,526408,185757,51.55654231,-0.178014558,2,NW3 1QG
Hampstead Heath,527344,185631,51.55519966,-0.164566182,3,NW3 2QD
Hampton,513299,169797,51.41587894,-0.372135246,6,TW12 2HU
Hampton Court,515376,168332,51.40229332,-0.342757145,6,KT8 9AE
Hampton Wick,517407,169752,51.41463953,-0.313103604,6,KT1 4DQ
Hanger Lane,518506,182621,51.53007156,-0.292996141,3,W5 1DL
Hanwell,515426,180560,51.51218541,-0.338051878,4,W7 3EB
Harlesden,520952,183367,51.53625791,-0.25749567,3,NW10 8UT
Harold Wood,554858,190626,51.5932026,0.234204077,6,RM3 0BL
Harringay,531395,188200,51.57735774,-0.105208252,3,N4 1RW
Harringay Green Lanes,531880,188189,51.57714573,-0.098217391,3,N4 2NU
Harrington Road,535002,168535,51.39979047,-0.060699954,"3,4,5,6",SE25 4NF
Harrow and Wealdstone,515486,189508,51.59259409,-0.334252679,5,HA3 7RF
Harrow-on-the-Hill,515329,188035,51.57938757,-0.337001511,5,HA1 1BB
Hatch End,513024,191370,51.6098279,-0.369178773,6,HA5 5LZ
Hatton Cross,509614,175369,51.46668461,-0.423380553,"5,6",TW6 3PF
Haydons Road,526012,171161,51.42545701,-0.188929357,3,SW19 8SL
Hayes,540003,165993,51.37573673,0.010142652,5,BR2 7EN
Hayes and Harlington,509717,179417,51.50304839,-0.420641893,5,UB3 4BX
Headstone Lane,513892,190574,51.60249904,-0.356907507,5,HA2 6NB
Heathrow Terminal 4,507939,174565,51.4597797,-0.447729578,6,TW6 3AA
Heathrow Terminal 5,504934,175642,51.47002462,-0.490647489,6,TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.47128866,-0.452407214,6,TW6 1EB
Hendon,522143,188271,51.5800746,-0.238630517,"3,4",NW4 4PT
Hendon Central,522959,188631,51.58313268,-0.226734137,"3,4",NW4 3AS
Herne Hill,531934,174486,51.4539912,-0.102562908,"2,3",SE24 0JW
Heron Quays,537386,180127,51.50338654,-0.021953532,2,E14 4JH
High Barnet,525027,196310,51.65168794,-0.194165378,5,EN5 5RP
High Street Kensington,525622,179527,51.50072913,-0.191566055,1,W8 5SA
Highams Park,538581,191841,51.608356,-0.000135286,4,E4 9LA
Highbury and Islington,531562,184770,51.54649534,-0.104082139,2,N1 1SE
Highgate,528503,188158,51.57764638,-0.146934861,3,N6 5BH
Hillingdon,507567,185015,51.55377678,-0.449897982,6,UB10 9NR
Hither Green,538997,174497,51.45240172,-0.000970912,3,SE13 5NF
Holborn,530553,181488,51.51723554,-0.119840507,1,WC2B 6AA
Holland Park,524564,180215,51.50714615,-0.206557775,2,W11 3RB
Holloway Road,530930,185457,51.55281592,-0.112935696,2,N7 8HS
Homerton,536108,184901,51.54659539,-0.038512347,2,E9 5SD
Honor Oak Park,536002,174221,51.45064817,-0.044153121,3,SE23 3LE
Hornchurch,553931,186274,51.55435547,0.218926999,6,RM12 6LS
Hornsey,530911,189202,51.58647467,-0.111815637,3,N8 8SE
Hounslow,513902,174998,51.46250423,-0.361796248,5,TW3 3DL
Hounslow Central,513592,175928,51.47092517,-0.365958121,4,TW3 1JG
Hounslow East,514327,176254,51.47370731,-0.355275314,4,TW3 4AB
Hounslow West,512215,176140,51.47310509,-0.38570762,5,TW3 3DH
Hoxton,533582,183142,51.53139149,-0.075585647,"1,2",E2 8HR
Hyde Park Corner,528330,179801,51.50258377,-0.152474113,1,SW1X 7LY
Ickenham,508127,185811,51.56082433,-0.441579501,6,UB10 8PD
Ilford,543501,186501,51.55914236,0.068685191,4,IG1 4DU
Imperial Wharf,526299,176674,51.47493863,-0.182837503,2,SW6 2HA
Island Gardens,538228,178432,51.48795007,-0.010493303,2,E14 3FA
Isleworth,515570,176430,51.47503687,-0.337328758,4,TW7 4BX
Iver,503729,179898,51.5085013,-0.506740419,,SL0 9AU
Kenley,532400,160100,51.32460015,-0.101219712,6,CR8 5JA
Kennington,531660,178337,51.48866229,-0.105070613,2,SE11 4JQ
Kensal Green,523241,182784,51.53052385,-0.224713381,2,NW10 5JT
Kensal Rise,523501,183201,51.53421471,-0.220820976,2,NW10 3NT
Kensington (Olympia),524324,179178,51.49787936,-0.21037924,2,W14 0NE
Kent House,535999,170000,51.41271759,-0.045815553,4,BR3 1JF
Kentish Town,529029,185096,51.55000929,-0.140471263,2,NW5 2AA
Kentish Town West,528603,184700,51.54654773,-0.146756409,2,NW5 3LD
Kenton,516833,188304,51.58149577,-0.315216861,4,HA3 0XS
Kew Bridge,518898,178172,51.49000415,-0.28884649,3,TW8 0EF
Kew Gardens,519173,176708,51.47678867,-0.285381007,"3,4",TW9 3PZ
Kidbrooke,540999,175697,51.46269024,0.028300239,3,SE3 9NF
Kilburn,524589,184644,51.5469441,-0.204632717,2,NW6 7QL
Kilburn High Road,525553,183591,51.53726743,-0.191113104,2,NW6 7QL
Kilburn Park,525361,183349,51.53513522,-0.193966055,2,NW6 5AD
King George V,543231,180135,51.50200871,0.062206214,3,E16 2JF
King Henry's Drive,537978,162558,51.34536407,-0.020264757,"3,4,5,6",CR0 0LH
King's Cross,530312,182991,51.53079799,-0.122756421,1,N1 9AL
Kings Cross St. Pancras,530236,182935,51.53031226,-0.123872129,1,N1 9AL
Kingsbury,519361,188739,51.58487606,-0.278601604,4,NW9 9EG
Kingston,518244,169549,51.41264127,-0.301141035,6,KT1 1UJ
Kingswood,524816,156585,51.29472279,-0.211233224,6,KT20 6EN
Knightsbridge,527765,179650,51.50135464,-0.160664485,1,SW3 1ED
Knockholt,548499,162896,51.34575216,0.13083104,6,TN14 7HR
