Station,NORTHING,EASTING,Latitude,Longitude,Zone,Postcode
Ladbroke Grove,524284,181328,51.51721033,-0.21019817,2,W10 6HJ
Ladywell,537716,174884,51.45619211,-0.019244401,3,SE13 7XB
Lambeth North,531165,179489,51.49912977,-0.11176826,1,SE1 7XG
Lancaster Gate,526711,180796,51.51189066,-0.175429927,1,W2 4QH
Langdon Park,537807,181863,51.51888392,-0.015213799,2,E14 6NW
Langley,501299,179800,51.50806077,-0.541770556,,SL3 6DB
Latimer Road,523789,180954,51.51395774,-0.217459663,2,W10 6SZ
Lea Bridge,536175,187133,51.5666362,-0.036683158,3,E10 7PG
Lebanon Road,533385,165756,51.37519886,-0.084973649,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.44945854,0.013364692,3,SE12 9JG
Leicester Square,529987,180812,51.51129097,-0.128242147,1,WC2H 0AP
Lewisham,538163,175863,51.4648807,-0.012432701,"2,3",SE13 7RY
Leyton,538295,186244,51.55813226,-0.006465332,3,E10 5PS
Leyton Midland Road,538150,187490,51.56936423,-0.008066347,3,E10 6JT
Leytonstone,539345,187429,51.56852231,0.009140452,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.56380736,0.008254469,3,E11 4RE
Limehouse,536150,181087,51.5123121,-0.039380078,2,E14 7JD
Liverpool Street,533160,181596,51.51759813,-0.082249622,1,EC2M 7PR
Lloyd Park,533711,164549,51.36427541,-0.080746273,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.50467421,-0.086005598,1,SE1 2SW
London City Airport,542231,180294,51.50368975,0.047872716,3,E16 2DS
London Fields,534795,184212,51.54071875,-0.057699686,2,E8 3PH
Loughborough Junction,531902,175897,51.46667873,-0.102497341,2,SW9 8SA
Loughton,542314,195641,51.64157057,0.055279079,6,IG10 4PD
Lower Sydenham,536831,171372,51.42484679,-0.033330341,4,SE26 5AU
Maida Vale,525967,182792,51.52999476,-0.185432645,2,W9 1JS
Maidenhead,488724,180745,51.51866743,-0.722674911,,SL6 1EW
Malden Manor,521101,166497,51.38460911,-0.261120412,4,KT3 5PN
Manor House,532074,187482,51.57074699,-0.095684976,"2,3",N4 1BZ
Manor Park,541929,185757,51.55285443,0.04572387,"3,4",E12 5EP
Mansion House,532347,180962,51.5120916,-0.094197657,1,EC4N 6JD
Marble Arch,527875,181056,51.51396523,-0.158571215,1,W1C 2JS
Maryland,539175,184881,51.54566828,0.005681654,3,E15 1SA
Marylebone,527510,181985,51.5223964,-0.163492562,1,NW1 6JJ
Maze Hill,539194,177909,51.48301366,0.003204897,3,SE10 9XG
Meridian Water,535062,191741,51.60831171,-0.050959906,4,N18 3HF
Merton Park,525182,169798,51.41339128,-0.201342029,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.52531092,-0.032666084,2,E3 4DH
Mill Hill Broadway,521300,191900,51.61287072,-0.249537065,4,NW7 2JU
Mill Hill East,524057,191460,51.6083163,-0.20989571,4,NW7 1BS
Mitcham,527345,168082,51.39748834,-0.170871645,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.40838366,-0.154001717,3,CR4 2ND
Mitcham Junction,528292,167611,51.39304231,-0.157436642,4,CR4 4HN
Monument,532907,180814,51.51063028,-0.086188313,1,EC4R 9AA
Moor Park,508563,193509,51.62992996,-0.432913016,"6,7",HA6 2JQ
Moorgate,532688,181677,51.518437,-0.089017687,1,EC2M 6TX
Morden,525664,168563,51.40218564,-0.19485198,4,SM4 5AZ
Morden Road,525788,169310,51.40887158,-0.192805675,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.39630737,-0.20030156,4,SM4 5AN
Mornington Crescent,529193,183359,51.53436199,-0.138744349,2,NW1 2JA
Mortlake,520458,175779,51.4681675,-0.26720331,3,SW14 8LN
Motspur Park,522581,167724,51.39531924,-0.239439743,4,KT3 6JJ
Mottingham,542600,173197,51.43982506,0.050324202,4,SE9 4EN
Mudchute,537908,178789,51.49123616,-0.014959945,2,E14 9UW
Neasden,521415,185422,51.55462731,-0.250115042,3,NW10 1PH
New Addington,538187,162255,51.34259048,-0.017383327,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.64853649,-0.172969712,5,EN5 1QT
New Beckenham,536718,170463,51.41670549,-0.035304949,4,BR3 1QW
New Cross,536750,177110,51.47642936,-0.032278811,2,SE14 6LD
New Cross Gate,536250,176967,51.47526487,-0.039529052,2,SE14 6AR
New Eltham,544005,172999,51.43769078,0.070444619,4,SE9 2AB
New Malden,521392,168612,51.40355549,-0.256218102,4,KT3 4PX
New Southgate,528672,192218,51.61409344,-0.143009775,4,N11 1QH
Newbury Park,544947,188378,51.57563851,0.090303158,4,IG2 7RN
Nine Elms,530058,177332,51.48000105,-0.128500983,1,SW8 2NA
Norbiton,519424,169495,51.41190889,-0.284199943,5,KT2 7AZ
Norbury,530650,169690,51.4111883,-0.122799401,3,SW16 3RW
North Acton,520831,181937,51.523432,-0.259729524,"2,3",W3 6UP
North Dulwich,532950,174567,51.45448167,-0.08791868,"2,3",SE21 7BX
North Ealing,518816,181243,51.51762182,-0.288993548,3,W5 3AF
North Greenwich,539168,179827,51.50025516,0.003586259,"2,3",SE10 0PH
North Harrow,513540,188578,51.58463071,-0.362632986,5,HA2 7SR
North Sheen,519132,175442,51.46541914,-0.286397462,3,TW9 4QA
North Wembley,517663,186198,51.5623958,-0.303948214,4,HA0 3NT
Northfields,517051,179296,51.50049116,-0.315064813,3,W13 9QU
Northolt,513228,184519,51.5482123,-0.368440588,5,UB5 4AA
Northolt Park,513829,185579,51.55761847,-0.359434189,5,UB5 4XE
Northumberland Park,534861,191035,51.60201565,-0.054132025,3,N17 0HY
Northwick Park,516634,187967,51.57850817,-0.318199386,4,HA3 0AT
Northwood,509236,191441,51.61121292,-0.423837776,6,HA6 2XL
Northwood Hills,510267,190305,51.60080198,-0.409311348,6,HA6 1NZ
Norwood Junction,534001,168193,51.3969542,-0.075209856,4,SE25 5AG
Notting Hill Gate,525296,180481,51.50937502,-0.195921616,"1,2",W11 3HT
Nunhead,535293,175975,51.4665799,-0.053679742,2,SE15 3XE
Oakleigh Park,527001,194800,51.63767609,-0.166194965,4,EN5 1BU
Oakwood,529349,195968,51.64763775,-0.131853539,5,N14 4UT
Ockendon,559004,182828,51.52199012,0.29048348,7,RM15 6PD
Old Street,532764,182474,51.52558133,-0.087622957,1,EC1V 9NR
Orpington,545500,165900,51.3735202,0.089028902,6,BR6 0SX
Osterley,514529,177094,51.48121624,-0.352096089,4,TW7 4PU
Oval,531108,177516,51.48141242,-0.113321075,2,SE11 4PP
Oxford Circus,529102,181227,51.51522317,-0.14083617,1,W1C 2JS
Paddington,526680,181185,51.5153935,-0.17573675,1,W2 1RH
Palmers Green,530925,192798,51.61878657,-0.110272499,4,N13 4PN
Park Royal,519074,182274,51.52683356,-0.284928913,3,W5 3EL
Parsons Green,525029,176645,51.47495983,-0.20112449,2,SW6 4HU
Peckham Rye,534152,176271,51.46951125,-0.069983553,2,SE15 5DQ
Penge East,535374,170791,51.41997526,-0.054495265,4,SE20 7BQ
Penge West,534952,170567,51.41806283,-0.060645764,4,SE20 8NU
Perivale,516404,183270,51.53634129,-0.323070416,4,UB6 7NP
Petts Wood,544440,167548,51.38859912,0.07448003,5,BR5 1LZ
Phipps Bridge,526534,168717,51.40337643,-0.182296787,"3,4,5,6",CR4 3QN
Piccadilly Circus,529612,180625,51.50969653,-0.133711596,1,W1J 9HS
Pimlico,529711,178386,51.48955265,-0.133108257,1,SW1V 2JA
Pinner,512233,189409,51.59236106,-0.381223782,5,HA5 5LZ
Plaistow,540058,183305,51.53128837,0.017780642,3,E13 0DY
Plumstead,544803,178820,51.48979257,0.084299617,4,SE18 7EA
Ponders End,536097,195599,51.64273064,-0.034525104,5,EN3 4LA
Pontoon Dock,541226,180102,51.50221627,0.033325708,3,E16 2SB
Poplar,537698,180603,51.50758804,-0.017275493,2,E14 0DS
Preston Road,518260,187292,51.57210325,-0.294972007,4,HA3 0PS
Prince Regent,541215,180905,51.50943461,0.033488574,3,E16 3HE
Pudding Mill Lane,537930,183585,51.53432784,-0.012768512,"2,3",E15 2PH
Purfleet,555417,178174,51.4811734,0.236774839,7,RM16 1PL
Purley,531500,161497,51.33736337,-0.113613517,6,CR8 2AP
Purley Oaks,532503,162594,51.34698918,-0.098815333,6,CR2 0ND
Putney,523992,175061,51.46095218,-0.216603371,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.467865,-0.209365414,2,SW6 3UH
Queens Park,524612,183239,51.53431232,-0.204798147,2,NW6 6HJ
Queens Road Peckham,535015,176825,51.47428462,-0.057354979,2,SE15 2JR
Queensbury,518802,189728,51.59388251,-0.286331593,4,HA8 5NP
Queenstown Road,528763,176738,51.47495889,-0.147355311,2,SW8 3RX
Queensway,525883,180615,51.51044893,-0.187419901,1,W2 4SS
Rainham,552097,182099,51.51734083,0.190691978,6,RM13 9YH
Ravensbourne,538699,170201,51.41387037,-0.006937816,4,BR3 5HE
Ravenscourt Park,522558,178711,51.4940676,-0.23596923,2,W6 0UG
Rayners Lane,512979,187538,51.57539613,-0.371060806,5,HA5 5EG
Raynes Park,523206,169303,51.40937497,-0.229912936,4,SW20 8NE
Reading,471527,173813,51.45878457,-0.971877621,,RG1 1LZ
Rectory Road,534001,186199,51.55876337,-0.068385664,2,N16 7QB
Redbridge,541833,188371,51.57636699,0.045394044,4,IG4 5BG
Reedham,530835,160821,51.33144151,-0.123402624,6,CR8 2DG
Reeves Corner,531895,165726,51.37527703,-0.106379778,"3,4,5,6",CR0 1XP
Regents Park,528765,182174,51.52381044,-0.14534441,1,NW1 5HA
Richmond,518072,175174,51.46323239,-0.301739129,4,TW9 2AZ
Rickmansworth,505717,194605,51.64032224,-0.473684571,7,WD3 1QY
Riddlesdown,532497,161001,51.33267467,-0.099493667,6,CR8 1HN
Roding Valley,541612,192882,51.61695652,0.044026207,4,IG9 6LN
Romford,551377,188455,51.57464189,0.183055274,6,RM1 1SX
Rotherhithe,535239,179870,51.50159442,-0.052966296,2,SE16 4LF
Royal Albert,542029,180823,51.50849395,0.045177145,3,E16 2QD
Royal Oak,525764,181485,51.51829405,-0.188823672,2,W2 6ET
Royal Victoria,540139,180833,51.50905527,0.017965413,3,E16 1DE
Ruislip,509510,187102,51.57216123,-0.421234916,6,HA4 8LD
Ruislip Gardens,510367,185763,51.55995951,-0.409294101,5,HA4 6LG
Ruislip Manor,510088,187258,51.5734509,-0.412849344,6,HA4 9AA
Russell Square,530207,182122,51.52301284,-0.124590197,1,WC1N 1LG
Sanderstead,532855,162743,51.3482461,-0.0937085,6,CR2 0PL
Sandilands,533869,165749,51.37502215,-0.078026589,"3,4,5,6",CR0 5PN
Selhurst,532993,167636,51.39218563,-0.089899037,4,SE25 6LL
Seven Kings,545401,187095,51.56399351,0.096319575,4,IG3 8RE
Seven Sisters,533646,188927,51.58336204,-0.072466823,3,N15 5LA
Shadwell,534936,180942,51.51130006,-0.056919207,2,E1 2QE
Shenfield,561356,195022,51.63087364,0.329952271,7,CM15 8JD
Shepherds Bush,523741,179904,51.5045318,-0.218519157,2,W12 8LH
Shepherds Bush Market,523121,180039,51.50588034,-0.22740049,2,W12 7JD
Shoreditch High Street,533501,182258,51.5234667,-0.077087424,1,E1 6AW
Shortlands,539399,169300,51.40560237,0.002767544,4,BR2 0JA
Sidcup,546300,172698,51.43439863,0.10331536,5,DA15 7AW
Silver Street,533544,192472,51.61524236,-0.072589741,4,N18 1QX
Slade Green,552250,176584,51.46774797,0.19051839,6,DA8 2NX
Sloane Square,528080,178657,51.49235951,-0.156488856,1,SW1W 8BB
Slough,497838,180157,51.51187888,-0.591524825,,SL1 1XW
Snaresbrook,540161,188828,51.58089131,0.021463928,4,E11 1QE
South Acton,520166,179279,51.49968539,-0.270215203,3,W3 0DS
South Bermondsey,535156,178319,51.48767653,-0.054754821,2,SE16 2PL
South Croydon,532896,164358,51.36275005,-0.092517363,5,CR2 7PA
South Ealing,517605,179437,51.50164352,-0.307040239,3,W5 4QB
South Greenford,515462,182991,51.53402701,-0.336737475,4,UB6 2WE
South Hampstead,526425,184081,51.54147656,-0.178371198,2,NW8 0DJ
South Harrow,514334,186376,51.56467959,-0.351893964,5,HA2 8HN
South Kensington,526865,178817,51.49407108,-0.173923021,1,SW7 2NB
South Kenton,517350,187153,51.57104395,-0.308142972,4,HA9 8QT
South Merton,524917,168662,51.40324022,-0.205550299,4,SW20 9JT
South Quay,537636,179853,51.50086358,-0.018460693,2,E14 9SH
South Ruislip,511080,185437,51.55688965,-0.399115901,5,HA4 6TP
South Tottenham,533697,188599,51.58040247,-0.071855956,3,N15 6ND
South Wimbledon,525828,170033,51.4153604,-0.191974544,"3,4",SW19 1DE
South Woodford,540577,190026,51.59155266,0.027943078,4,E18 1JJ
Southall,512620,179804,51.50595629,-0.378711181,4,UB2 4AA
Southbury,534803,196199,51.64843364,-0.05298331,5,EN3 4HW
Southfields,524730,173291,51.44488298,-0.206609383,3,SW18 5RJ
Southgate,529675,194278,51.63237564,-0.127770046,4,N14 5BH
Southwark,531566,180025,51.50385345,-0.105794939,1,SE1 8NW
St Helier,525408,167191,51.38991184,-0.19901459,4,SM4 6SF
St James Street,536402,188694,51.58060861,-0.032804562,3,E17 7PJ
St Johns,537400,176298,51.46897526,-0.023240662,2,SE8 4EW
St Margarets,516732,174250,51.45520547,-0.321324242,4,TW1 2LH
St Mary Cray,546698,168298,51.39475959,0.1072179,6,BR5 3SN
St Pancras,530122,182959,51.5305542,-0.125505781,1,NW1 2QP
St. James's Park,529629,179503,51.49960958,-0.133878754,1,SW1H 0BD
St. Johns Wood,526742,183352,51.53485413,-0.174064839,2,NW8 6DN
St. Pauls,532105,181261,51.51483514,-0.097571,1,EC2V 6AA
Stamford Brook,521913,178738,51.49444957,-0.245246306,2,W6 0SB
Stamford Hill,533381,187928,51.57444748,-0.076668342,3,N16 5AG
Stanmore,517574,192569,51.61967295,-0.303099288,5,HA7 4PD
Star Lane,539148,182091,51.52060426,0.004191003,3,E16 4SR
Stepney Green,535566,182149,51.52199576,-0.047382523,2,E1 4AQ
Stockwell,530473,176470,51.47215906,-0.122846303,2,SW9 9AE
Stoke Newington,533710,186845,51.56463749,-0.072335394,2,N16 6YA
Stonebridge Park,519690,184197,51.54398611,-0.275400437,3,NW10 0RW
Stoneleigh,522021,164155,51.36336365,-0.248709653,5,KT17 2JA
Stratford,538533,184421,51.54169258,-0.003751641,3,E15 1AZ
Stratford High Street,538729,184032,51.53814895,-0.001080356,3,E15 3PA
Stratford International,538175,184758,51.54480852,-0.008778434,3,E15 2LZ
Strawberry Hill,515500,172502,51.43974728,-0.339617724,5,TW1 4PP
Streatham,529946,171303,51.42584565,-0.132325496,3,SW16 6HP
Streatham Common,529729,170534,51.41898445,-0.135726164,3,SW16 5NT
Streatham Hill,530233,172714,51.43846016,-0.127681481,3,SW2 4PA
Sudbury and Harrow Road,516853,185300,51.55449327,-0.315926236,4,HA0 2HA
Sudbury Hill,515427,185584,51.55733901,-0.336392109,4,HA1 3RA
Sudbury Hill Harrow,515490,185697,51.55834173,-0.335446687,4,HA1 3RJ
Sudbury Town,516832,184955,51.55139693,-0.31634348,4,HA0 2LA
Sundridge Park,540599,170200,51.41339384,0.020365109,4,BR1 3TR
Surbiton,518070,167315,51.39259904,-0.304384554,6,KT6 4PE
Surrey Quays,535641,178954,51.49326678,-0.047529988,2,SE16 2UE
Sutton,526028,163823,51.35950582,-0.191302009,5,SM1 1JA
Sutton Common,525593,165598,51.37555437,-0.19691991,4,SM1 3HY
Swiss Cottage,526611,184259,51.54303456,-0.175626603,2,NW3 6HY
Sydenham,535311,171609,51.42734116,-0.055088671,3,SE26 5EU
Sydenham Hill,533548,172145,51.43257576,-0.080230208,3,SE21 7HW
Syon Lane,516306,177163,51.48147416,-0.326495028,4,TW7 5NT
Tadworth,523097,156199,51.29162748,-0.236008013,6,KT20 5SP
Taplow,491579,181340,51.52356084,-0.681384851,,SL6 0NU
Tattenham Corner,522593,158140,51.30918092,-0.242566269,6,KT18 5PR
Teddington,516019,170817,51.42449695,-0.332705331,6,TW11 9AA
Temple,530995,180810,51.51104042,-0.11372575,1,WC2R 2PH
Thames Ditton,515721,166818,51.38861552,-0.338292831,6,KT7 0PA
Theobalds Grove,535933,201119,51.69237253,-0.034748134,7,EN8 7BG
Therapia Lane,530290,166843,51.38568558,-0.129017106,"3,4,5,6",CR0 3DD
Theydon Bois,545509,199180,51.67255225,0.102890737,6,CM16 7EU
Thornton Heath,532242,168317,51.39848092,-0.100433165,4,CR7 8RX
Tolworth,519834,165603,51.37684286,-0.27962011,5,KT5 9NU
Tooting,527969,170591,51.41989637,-0.161002471,3,SW17 9JR
Tooting Bec,528015,172366,51.4358378,-0.159700491,3,SW17 9AH
Tooting Broadway,527415,171373,51.42704887,-0.168684526,3,SW17 0SU
Tottenham Court Road,529774,181354,51.51621066,-0.131110438,1,W1D 2DA
Tottenham Hale,534483,189465,51.58799768,-0.060187822,3,N17 9LR
Totteridge and Whetstone,526111,193951,51.63024643,-0.179354261,4,N20 9QP
Tower Gateway,533725,180809,51.51039252,-0.074409877,1,EC3N 1JL
Tower Hill,533566,180805,51.51039415,-0.076701198,1,EC3N 4DJ
Tufnell Park,529200,185816,51.55644058,-0.137742174,2,N19 5QB
Tulse Hill,531797,172903,51.43979726,-0.105122508,3,SE27 9BW
Turkey Street,535129,198903,51.67265359,-0.047229931,6,EN3 5TT
Turnham Green,521267,178804,51.49518153,-0.254524564,2,W4 1LR
Turnpike Lane,531524,189650,51.59035797,-0.102805041,3,N15 3NX
Twickenham,516221,173687,51.45025041,-0.32886022,5,TW1 1BD
Twyford,479041,175787,51.47553253,-0.863306993,,RG10 9NA
Upminster,556167,186833,51.55876377,0.251400805,6,RM14 2TD
Upminster Bridge,555002,186681,51.55771919,0.234541892,6,RM12 6PL
Upney,545844,184260,51.53840582,0.101531745,4,IG11 9LS
Upper Holloway,529778,186630,51.5636231,-0.129109363,2,N19 4DJ
Upper Warlingham,534100,158383,51.30877213,-0.077481662,6,CR3 0EP
Upton Park,541204,183931,51.53662826,0.03454184,3,E13 9AP
Uxbridge,505698,184161,51.54645373,-0.477101546,6,UB8 1JZ
Vauxhall,530366,177978,51.4857356,-0.123829952,"1,2",SW8 1SR
Victoria,528941,179131,51.49642372,-0.143920705,1,SW1E 5JX
Waddon,531151,164828,51.36737907,-0.117394076,5,CR0 4NA
Waddon Marsh,531082,165906,51.37708276,-0.117987464,"3,4,5,6",CR0 4XT
Wallington,528841,163985,51.3603313,-0.150863834,5,SM6 0DZ
Waltham Cross,536520,200343,51.68525722,-0.026564257,7,EN8 7LU
Walthamstow Central,537286,188986,51.58301808,-0.019940545,3,E17 7LP
Walthamstow Queens Road,537020,188815,51.58154616,-0.023843943,3,E17 7QZ
Wandle Park,531422,165505,51.37340053,-0.11325332,"3,4,5,6",CR0 4JS
Wandsworth Common,527719,173530,51.44636534,-0.163536979,3,SW12 8NL
Wandsworth Road,529354,176226,51.47022298,-0.139037675,2,SW8 4PA
Wandsworth Town,525985,175119,51.46103377,-0.187910036,2,SW18 1SU
Wanstead,540685,188176,51.5749022,0.028760472,4,E11 2NT
Wanstead Park,540592,185600,51.55177812,0.026389943,3,E7 0HU
Wapping,535030,180170,51.50434023,-0.055860814,2,E1W 3PA
Warren Street,529253,182272,51.52457976,-0.138278331,1,NW1 3AA
Warwick Avenue,526158,182030,51.52310414,-0.182953291,2,W9 2PT
Waterloo,531050,179933,51.50314646,-0.113259251,1,SE1 7NY
Waterloo East,531332,180054,51.50416843,-0.109153637,1,SE1 8NH
Watford,509579,196610,51.65760442,-0.417269997,7,WD18 7LE
Watford High Street,511360,196098,51.65265307,-0.39169672,8,WD17 2EG
Watford Junction,511023,197340,51.66388237,-0.396171948,,WD17 1ET
Wellesley Road,532511,165752,51.37536738,-0.097524908,"3,4,5,6",CR0 2DD
Welling,546096,176073,51.46477726,0.101775039,4,DA16 3AT
Wembley Central,518214,185039,51.5518643,-0.296392322,4,HA9 6AG
Wembley Park,519373,186341,51.563322,-0.279242548,4,HA9 9AA
Wembley Stadium,518924,185366,51.5546541,-0.286046442,4,HA9 8BQ
West Acton,519394,181273,51.51776969,-0.280657171,3,W3 6UP
West Brompton,525383,178030,51.4873286,-0.19553881,2,SW5 9JX
West Croydon,532188,166098,51.37855201,-0.102034292,5,CR0 2TA
West Drayton,506124,180122,51.51007045,-0.472176084,6,UB7 9DY
West Dulwich,532798,173053,51.44091168,-0.090672676,3,SE21 8HN
West Ealing,516690,180749,51.51362468,-0.319782949,3,W13 0NQ
West Finchley,525507,191601,51.60926242,-0.188917107,4,N3 1NT
West Ham,539202,182974,51.52852553,0.005317394,3,E15 3BN
West Hampstead,525524,184726,51.54747402,-0.191126583,2,NW6 2LX
West Hampstead Thameslink,525423,184852,51.54862881,-0.192537518,2,NW6 1XJ
West Harrow,514163,187957,51.57892366,-0.35384669,5,HA1 4HE
West India Quay,537471,180505,51.50676263,-0.020582447,2,E14 4ED
West Kensington,524635,178321,51.49010903,-0.206203692,2,W14 9NL
West Norwood,531956,171955,51.43124095,-0.103189134,3,SE27 0HS
West Ruislip,508364,186791,51.56958716,-0.437860134,6,HA4 7WD
West Silvertown,540455,180155,51.50288447,0.022246047,3,E16 2AT
West Sutton,525081,164539,51.3661498,-0.204644546,5,SM1 2EH
West Wickham,538266,166563,51.38128418,-0.01457633,5,BR4 0PY
Westbourne Park,524920,181764,51.52098851,-0.200882513,2,W11 1AB
Westcombe Park,540199,178103,51.48450893,0.0177457,3,SE3 7EQ
Westferry,537064,180814,51.50963811,-0.026323137,2,E14 8AD
Westminster,530240,179718,51.50140139,-0.125002078,1,SW1A 2JR
White City,523296,180750,51.51223207,-0.224631929,2,W12 7RH
White Hart Lane,533693,191340,51.60503466,-0.070870327,3,N17 7RP
Whitechapel,534738,181859,51.51958769,-0.059420485,2,E1 1BY
Whitton,514220,173568,51.44958761,-0.357682053,5,TW2 7LG
Whyteleafe,533842,158505,51.30992919,-0.081135165,6,CR3 0AD
Whyteleafe South,534169,157797,51.30348968,-0.076712514,6,CR3 0BD
Willesden Green,523350,184884,51.54937292,-0.222407601,"2,3",NW2 4QT
Willesden Junction,521905,182942,51.53223357,-0.24390914,3,NW10 4RA
Wimbledon,524791,170647,51.42110751,-0.206662833,3,SW19 1PS
Wimbledon Chase,524306,169347,51.40953058,-0.214089767,3,SW20 8DB
Wimbledon Park,525274,172158,51.43458063,-0.199186273,3,SW19 7DZ
Winchmore Hill,531529,194494,51.6338867,-0.100916933,4,N21 3NG
Wood Green,531038,190427,51.59745355,-0.109526589,3,N22 8HH
Wood Lane,523314,180464,51.50965783,-0.224472606,2,W12 7DS
Wood Street,538521,189426,51.58666994,-0.001953898,4,E17 3NZ
Woodford,540952,191778,51.6072019,0.034056202,4,IG8 7QE
Woodgrange Park,541861,185332,51.54905261,0.044572496,"3,4",E7 8AA
Woodmansterne,528720,159385,51.31901833,-0.154262127,6,CR5 3HS
Woodside,534716,167115,51.38709758,-0.065347178,"3,4,5,6",SE25 5DP
Woodside Park,525725,192564,51.6178681,-0.185425503,4,N12 8SE
Woolwich,543931,178994,51.4915785,0.071819379,4,SE18 6EU
Woolwich Arsenal,543754,178803,51.48990723,0.069193907,4,SE18 6HX
Woolwich Dockyard,542738,178908,51.49110789,0.054612348,3,SE18 5JY
Worcester Park,522192,166133,51.38110409,-0.245575288,4,KT4 7ND